edgelist,group,embedder,similarity_metric,type,value
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_19,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8559282002834199
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_19,5_10_graphs_0.5g_0.5ng,spring,None,time,0.174933910369873
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_19,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.7892741604472859
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_35,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8602455146364495
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_35,5_10_graphs_0.5g_0.5ng,spring,None,time,0.1694798469543457
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_35,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.788340300927113
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_38,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8814504881450489
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_38,5_10_graphs_0.5g_0.5ng,spring,None,time,0.1515536308288574
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_38,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.8155757458288418
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_43,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,f_score,0.8664158043273753
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_43,5_10_graphs_0.5g_0.5ng,spring,None,time,0.1596088409423828
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_43,5_10_graphs_0.5g_0.5ng,spring,EuclidianDistance,pk_ratio,0.7983325901864802
